"export-plot data (NetLogo 6.2.2)"
"DeepQFinancialMarket copy.nlogo"
"06/01/2022 12:07:40:986 -0500"

"MODEL SETTINGS"
"trade-size-cap","nmarketmakers","prob-of-link","nvalueinvestors","smart-investor-model","mm-limit-toggle","verbose","nsmartinvestors","smartsize","market-disparity","smart-holdingtime","bid-offer","mm-positionlimit"
"5","10","100","20","""Not Pretrained""","false","false","20","2","20","200","1","5"

"""Price"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"11913","13923","99","119.3","true","""market bid""","true","2"

"pen name","pen down?","mode","interval","color","x"
"""market bid""","true","0","1","105","13913"
"""market offer""","true","0","1","15","13913"

"""market bid""",,,,"""market offer"""
"x","y","color","pen down?","x","y","color","pen down?"
"0","99.5","105","true","0","100.5","15","true"
"1","99","105","true","1","99.93299794387983","15","true"
"2","99.47217588016741","105","true","2","100.43299794387983","15","true"
"3","99.47217588016741","105","true","3","100.43299794387983","15","true"
"4","99.97217588016741","105","true","4","100.93299794387983","15","true"
"5","99.49558662431042","105","true","5","100.47217588016741","15","true"
"6","100.1099063396304","105","true","6","100.97217588016741","15","true"
"7","100.1099063396304","105","true","7","100.97217588016741","15","true"
"8","100.6099063396304","105","true","8","101.47217588016741","15","true"
"9","100.22208290582897","105","true","9","101.1099063396304","15","true"
"10","100.22208290582897","105","true","10","101.1099063396304","15","true"
"11","100.72208290582897","105","true","11","101.6099063396304","15","true"
"12","101.22208290582897","105","true","12","102.1099063396304","15","true"
"13","101.22208290582897","105","true","13","102.1099063396304","15","true"
"14","101.72208290582897","105","true","14","102.6099063396304","15","true"
"15","101.3239445062147","105","true","15","102.22208290582897","15","true"
"16","101.3239445062147","105","true","16","102.22208290582897","15","true"
"17","100.92132870988222","105","true","17","101.8239445062147","15","true"
"18","100.51676512631867","105","true","18","101.42132870988222","15","true"
"19","100.51676512631867","105","true","19","101.42132870988222","15","true"
"20","100.51676512631867","105","true","20","101.42132870988222","15","true"
"21","100.10296664773749","105","true","21","101.01676512631867","15","true"
"22","100.10296664773749","105","true","22","101.01676512631867","15","true"
"23","100.60296664773749","105","true","23","101.51676512631867","15","true"
"24","100.60296664773749","105","true","24","101.51676512631867","15","true"
"25","100.60296664773749","105","true","25","101.51676512631867","15","true"
"26","101.10296664773749","105","true","26","102.01676512631867","15","true"
"27","101.10296664773749","105","true","27","102.01676512631867","15","true"
"28","101.10296664773749","105","true","28","102.01676512631867","15","true"
"29","101.10296664773749","105","true","29","102.01676512631867","15","true"
"30","101.10296664773749","105","true","30","102.01676512631867","15","true"
"31","101.60296664773749","105","true","31","102.52466629555207","15","true"
"32","101.60296664773749","105","true","32","102.52466629555207","15","true"
"33","101.60296664773749","105","true","33","102.52466629555207","15","true"
"34","101.60296664773749","105","true","34","102.52466629555207","15","true"
"35","101.18793463399113","105","true","35","102.11086781697088","15","true"
"36","101.69754925856705","105","true","36","102.62573068504574","15","true"
"37","101.69754925856705","105","true","37","102.62573068504574","15","true"
"38","102.21241212664191","105","true","38","103.14914142918875","15","true"
"39","102.21241212664191","105","true","39","103.14914142918875","15","true"
"40","102.21241212664191","105","true","40","103.14914142918875","15","true"
"41","101.79738011289555","105","true","41","102.73582287078492","15","true"
"42","102.38943113931398","105","true","42","103.26495359758476","15","true"
"43","102.38943113931398","105","true","43","103.26495359758476","15","true"
"44","102.91856186611383","105","true","44","103.79504085399016","15","true"
"45","103.44864912251923","105","true","45","104.334375426835","15","true"
"46","103.44864912251923","105","true","46","104.334375426835","15","true"
"47","103.98798369536406","105","true","47","104.89211260219224","15","true"
"48","103.61382634777577","105","true","48","104.5457208707213","15","true"
"49","103.61382634777577","105","true","49","104.5457208707213","15","true"
"50","103.61382634777577","105","true","50","104.5457208707213","15","true"
"51","103.61382634777577","105","true","51","104.5457208707213","15","true"
"52","103.61382634777577","105","true","52","104.5457208707213","15","true"
"53","104.17340037632246","105","true","53","105.11469829542177","15","true"
"54","104.17340037632246","105","true","54","105.11469829542177","15","true"
"55","104.74237780102294","105","true","55","105.68499705749423","15","true"
"56","104.36822045343466","105","true","56","105.3126765630954","15","true"
"57","104.36822045343466","105","true","57","105.3126765630954","15","true"
"58","103.99042290545496","105","true","58","104.9142290491055","15","true"
"59","104.5364315011258","105","true","59","105.46873580620645","15","true"
"60","104.5364315011258","105","true","60","105.46873580620645","15","true"
"61","104.5364315011258","105","true","61","105.46873580620645","15","true"
"62","105.09093825822674","105","true","62","106.0390345682789","15","true"
